,client_id,date_order,quantity,sales_net,data_order_year_2017,data_order_year_2018,data_order_year_2019,data_order_quarter_1,data_order_quarter_2,data_order_quarter_3,data_order_quarter_4
14196267,1774607,2018-03-07,0.00022224693,35.634666,0,1,0,1,0,0,0
14496964,1535674,2018-03-07,0.0,10.764,0,1,0,1,0,0,0
50876326,1406355,2019-05-01,0.0,217.1292,0,0,1,0,1,0,0
24544580,2057710,2018-06-22,0.0,19.5132,0,1,0,0,1,0,0
14884767,1218783,2018-03-13,0.00044449384,85.89856,0,1,0,1,0,0,0
35889284,841758,2018-11-08,0.055450607,541.13257,0,1,0,0,0,0,1
23409615,1639156,2018-06-26,0.000111123445,20.746,0,1,0,0,1,0,0
38950220,1175471,2018-12-18,0.00033337035,49.1832,0,1,0,0,0,0,1
38967145,56917,2018-12-18,0.000111123445,45.747,0,1,0,0,0,0,1
1686870,1328830,2017-10-10,0.0,216.936,1,0,0,0,0,0,1
28425951,1887048,2018-08-21,0.0,38.9988,0,1,0,0,0,1,0
20105612,418793,2018-05-23,0.0,159.5556,0,1,0,0,1,0,0
38525065,761727,2018-12-12,0.00022224693,35.9352,0,1,0,0,0,0,1
13976315,909042,2018-03-02,0.0010001111,63.67872,0,1,0,1,0,0,0
35772387,2125531,2018-11-13,0.0,21.2796,0,1,0,0,0,0,1
31797501,612864,2018-10-02,0.0007778642,115.8533,0,1,0,0,0,0,1
41798938,923144,2019-01-04,0.0022224693,116.62665,0,0,1,1,0,0,0
18949360,1426002,2018-04-30,0.000111123445,6.762,0,1,0,0,1,0,0
61428971,1988469,2019-09-04,0.0,171.9756,0,0,1,0,0,1,0
14272936,1675147,2018-03-06,0.00044449384,154.24904,0,1,0,1,0,0,0
32310704,296199,2018-09-27,0.000111123445,92.345,0,1,0,0,0,1,0
58124375,672498,2019-07-29,0.000111123445,33.672,0,0,1,0,0,1,0
39654485,749713,2018-12-26,0.0,146.3904,0,1,0,0,0,0,1
18700411,1061219,2018-01-31,0.0,0.0276,0,1,0,1,0,0,0
32093641,179451,2018-10-04,0.00033337035,125.7525,0,1,0,0,0,0,1
489274,1444500,2017-09-29,0.000111123445,44.505,1,0,0,0,0,1,0
36682242,446346,2018-11-22,0.00055561727,9.6278,0,1,0,0,0,0,1
15139103,790052,2018-03-13,0.0032225805,42.071293,0,1,0,1,0,0,0
21794095,376334,2018-06-11,0.00033337035,24.84,0,1,0,0,1,0,0
47198109,1423548,2019-03-22,0.000111123445,477.848,0,0,1,1,0,0,0
61724742,32211,2019-09-04,0.0,77.3628,0,0,1,0,0,1,0
41047867,1216522,2019-01-10,0.0054450496,340.2173,0,0,1,1,0,0,0
42750334,1765693,2019-02-04,0.00022224693,66.01,0,0,1,1,0,0,0
59548839,2059146,2019-07-23,0.002666963,223.3392,0,0,1,0,0,1,0
57124625,1169879,2019-07-16,0.0,241.1412,0,0,1,0,0,1,0
38711409,2054373,2018-10-29,0.055450607,268.54028,0,1,0,0,0,0,1
23615358,202878,2018-07-02,0.0055561727,47.38,0,1,0,0,0,1,0
5248778,498112,2017-11-22,0.00055561727,21.966534,1,0,0,0,0,0,1
53119733,59796,2019-04-12,0.0,7.4796,0,0,1,0,1,0,0
61793014,1877408,2019-09-06,0.0,69.0,0,0,1,0,0,1,0
39703466,1878048,2018-12-25,0.0,278.4288,0,1,0,0,0,0,1
4486507,1221694,2017-11-15,0.0,29.2284,1,0,0,0,0,0,1
20178319,1904012,2018-05-11,0.0043338146,386.23715,0,1,0,0,1,0,0
23611489,134590,2018-06-29,0.00022224693,4.7870665,0,1,0,0,1,0,0
54591020,1742538,2019-06-26,0.0,232.5024,0,0,1,0,1,0,0
12413208,2198261,2018-02-15,0.0,19.0716,0,1,0,1,0,0,0
21736508,820055,2018-06-05,0.00033337035,275.2686,0,1,0,0,1,0,0
52088093,1163688,2019-05-27,0.0,75.7068,0,0,1,0,1,0,0
55818062,2095387,2019-07-05,0.0022224693,7.5352383,0,0,1,0,0,1,0
58955597,728410,2019-08-09,0.0,42.2556,0,0,1,0,0,1,0
16333244,720790,2018-03-28,0.011001223,23.836187,0,1,0,1,0,0,0
12651930,37031,2018-02-06,0.014334926,113.28123,0,1,0,1,0,0,0
28288751,322573,2018-08-20,0.0,194.7456,0,1,0,0,0,1,0
15222929,692501,2018-03-15,0.0,2.6496,0,1,0,1,0,0,0
38408199,412809,2018-12-11,0.0,190.992,0,1,0,0,0,0,1
61757152,1336009,2019-09-06,0.0,75.486,0,0,1,0,0,1,0
48056156,685468,2019-03-28,0.0007778642,33.21545,0,0,1,1,0,0,0
26181007,1948639,2018-07-27,0.00022224693,2113.286,0,1,0,0,0,1,0
12364486,504252,2018-02-12,0.0,252.2088,0,1,0,1,0,0,0
